concert_name,concert_date,concert_time,artist,venue,venue_address,cost,created_at,updated_at
"Boston Symphony Tanglewood (SOH) presents","Sunday, July 30, 2017","2:30 pm","Young Artists Wind Ensemble","Seiji Ozawa Hall","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Sevenars Music Festival presents","Sunday, July 30, 2017","4:00 pm","Chamber Music","The Academy","South Worthington",20.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Maverick Concerts presents","Sunday, July 30, 2017","4:00 pm","Trio con Brio Copenhagen","120 Maverick Rd","Woodstock, Woodstock",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Bowdoin International Music Festival (SZ) presents","Monday, July 31, 2017","7:30 pm","Borromeo String Quartet","Studzinski Recital Hall","Bowdoin College, Brunswick",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Cape Cod Chamber Music Festival presents","Tuesday, August 1, 2017","7:30 pm","Brahms in the Café","Cotuit Center for the Arts","Cotuit",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (K) presents","Tuesday, August 1, 2017","8:00 pm","Tanglewood on Parade","Koussevitzky Music Shed","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Yellow Barn presents","Tuesday, August 1, 2017","8:00 pm","Chamber Music","Yellow Barn","49 Main St, Putney, Vt",18.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Landmarks Orchestra presents","Wednesday, August 2, 2017","7:00 pm","Beethoven &#8211; Symphony #9","Hatch Shell Boston Esplanade","Boston",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Bowdoin International Music Festival (SZ) presents","Wednesday, August 2, 2017","7:30 pm","Chamber Music","Studzinski Recital Hall","Bowdoin College, Brunswick",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Cape Cod Chamber Music Festival presents","Wednesday, August 2, 2017","7:30 pm","Lydian String Quartet","Church of the Holy Spirit","Olreans",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
