concert_name,concert_date,concert_time,artist,venue,venue_address,cost, created_at,updated_at
Newport Music Festival presents,"Thursday, July 13, 2017",11:00 AM,"Clemens Teufel, piano","Various Mansions, Newport","Newport, RI",0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Newport Music Festival presents,"Thursday, July 13, 2017",7:00 PM,Chamber Music,"Various Mansions, Newport","Newport, RI",0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Newport Music Festival presents,"Monday, July 17, 2017",8:00 PM,Chamber Music,"Various Mansions, Newport","Newport, RI",0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Newport Music Festival presents,"Tuesday, July 18, 2017",8:00 PM,Chamber Music,"Various Mansions, Newport","Newport, RI",0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Newport Music Festival presents,"Wednesday, July 19, 2017",6:00 PM,"Three Pianos, Six Hands","Various Mansions, Newport","Newport, RI",0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Newport Music Festival presents,"Wednesday, July 19, 2017",6:00 PM,Bach Gamba Sonatas,"Various Mansions, Newport","Newport, RI",0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Newport Music Festival presents,"Wednesday, July 19, 2017",8:00 PM,Chamber Music,"Various Mansions, Newport","Newport, RI",0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Foundation for Chinese Performing Arts (WH) presents,"Thursday, July 27, 2017",7:30 PM,Carpe Diem String Quartet,Walnut Hill School,"12 Highland Street, Natick",5,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Foundation for Chinese Performing Arts (WH) presents,"Sunday, July 23, 2017",7:30 PM,"Hung-Kuan Chen ?????????, pianist","Walnut Hill School, 12 Highland Street, Natick","12 Highland Street, Natick",5,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Foundation for Chinese Performing Arts (WH) presents,"Tuesday, July 25, 2017",7:30 PM,"Larry Weng, pianist","Walnut Hill School, 12 Highland Street, Natick","12 Highland Street, Natick",5,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Foundation for Chinese Performing Arts (WH) presents,"Friday, July 28, 2017",7:30 PM,"Artur Haftman, pianist","Walnut Hill School, 12 Highland Street, Natick","12 Highland Street, Natick",5,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Foundation for Chinese Performing Arts (WH) presents,"Saturday, July 29, 2017",7:30 PM,Chamber Music,"Walnut Hill School, 12 Highland Street, Natick","12 Highland Street, Natick",5,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Foundation for Chinese Performing Arts (WH) presents,"Monday, July 31, 2017",7:30 PM,"Han Chen ?????? , pianist","Walnut Hill School, 12 Highland Street, Natick","12 Highland Street, Natick",0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Foundation for Chinese Performing Arts (WH) presents,"Tuesday, August 1, 2017",7:30 PM,"Alexander Korsantia, pianist","Walnut Hill School, 12 Highland Street, Natick","12 Highland Street, Natick",0,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Foundation for Chinese Performing Arts (WH) presents,"Wednesday, August 2, 2017",7:30 PM,Borromeo String Quartet,"Walnut Hill School, 12 Highland Street, Natick","12 Highland Street, Natick",5,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Foundation for Chinese Performing Arts (WH) presents,"Friday, August 4, 2017",7:30 PM,Chamber Music,"Walnut Hill School, 12 Highland Street, Natick","12 Highland Street, Natick",5,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Foundation for Chinese Performing Arts (WH) presents,"Sunday, August 6, 2017",7:30 PM,"Eric Lu ?????????, pianist","Walnut Hill School, 12 Highland Street, Natick","12 Highland Street, Natick",5,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Foundation for Chinese Performing Arts (WH) presents,"Thursday, August 10, 2017",7:30 PM,"Mana Tokuno, pianist","Walnut Hill School, 12 Highland Street, Natick","12 Highland Street, Natick",5,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
Foundation for Chinese Performing Arts (WH) presents,"Thursday, August 10, 2017",7:30 PM,"Mana Tokuno, pianist","Walnut Hill School, 12 Highland Street, Natick","12 Highland Street, Natick",5,"2017-07-18 16:43:38.187476","2017-07-18 16:43:38.187476"
